channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,6c0ac8da4d398d6a1e25f32ad6020bce1ff257bbdf0ab2eb2e9c4323a7632b31,341,1,"Rp15,676",14,34,11,3,20,11,0,0,0,0,0,0
PlanetSports.Asia,ec7d14c10d3972b5f8cb9c7aa1ebed632668ab0c43ecc01b4d3730c09755788d,360,1,"Rp26,126",0,19,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,258279cde37cba28b7bafe73044b84c75d08beacb8cd3dd204beb5ed8eeae0b1,343,1,"Rp26,577",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,0d6d19dcd2c8cbad8a311160074feaa0c0357542e8cc83a184fe68d2d488e48e,193,1,"Rp29,766",3,30,13,3,11,13,1,0,0,0,0,0
PlanetSports.Asia,c1804abe89e190e6a4a2f12dd107d1dc6d73d45d722c7c9421ffce80a4c5bfa3,304,1,"Rp35,315",0,24,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,2a32a4d376eda6e566545d7b2c173224d2e09ae9613fc10bd2e0fcf072ee9136,354,1,"Rp35,315",0,21,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,23c8730a7a5c08300b3318aa5f656674eb756f1611c410a91e4dd5396442c9fc,302,1,"Rp35,315",0,23,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,4ecf823d2f284593fcd7f5de3abbaa04f047dc281beb95991b99af94ef06ba81,167,1,"Rp36,036",0,20,1,0,0,1,1,0,0,0,0,0
PlanetSports.Asia,376ff473f8af6f346c0841db3a2c3e80af118732c5b2bec184286c21a79065d0,84,1,"Rp42,523",0,31,39,2,0,39,0,0,0,0,0,0
PlanetSports.Asia,4f01434380a3cd1c5bfdf07e8ae483902db4ecbbc6c3005fe298e3ad1b2fb420,170,1,"Rp44,079",0,18,10,0,0,10,2,0,0,0,0,0
PlanetSports.Asia,f11948f6a59a269e0d9964edbe70960f9b9b70fef6b9b02a1d8fecf61ea7971d,243,1,"Rp44,144",5,36,0,0,2,0,1,0,0,0,0,0
PlanetSports.Asia,ef9c23d4613a9dfc7f5855001e10ea2fa10b1a01eeed70a2f0d5976e3a395ce7,301,1,"Rp44,144",0,19,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,bd9897677e637e0d43810a25350d66eb963621151424eca4601763a312bd5ebd,57,1,"Rp44,595",0,5,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,af5b7b6828027d627485760fcbebc92509c06cd3aef933fea1f11a43d0f14847,158,1,"Rp44,838",0,15,2,0,0,2,1,0,0,0,0,0
PlanetSports.Asia,a5f6edae9e08c1a779b66f6cfd46c6d630be82b7e471b510418981401bc544c8,18,1,"Rp49,820",0,28,4,0,0,4,0,0,0,0,0,0
PlanetSports.Asia,dc576a4d06b5a608fcd321f7b701868d6ca80814a7e8c38340b3084887841e05,42,1,"Rp49,820",0,4,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,6c33535f1d60c5a2c36730f715415a6c4cbeaa8224c3cfa0870955ae4a988c94,303,1,"Rp51,351",0,28,18,0,0,18,0,0,0,0,0,0
PlanetSports.Asia,0296aecdcfc8b680c1c6d96a7364ffc5cb4716a01c6d1d89814599b9610e549d,302,1,"Rp53,153",0,23,3,0,0,3,0,0,0,0,0,0
PlanetSports.Asia,b6811691083130beff2682f05de5a1868c47449b5ff7d429174044648f4bf1f4,302,1,"Rp53,153",0,19,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,e4cfe0196753d7a200250d25a50438b0ab9cbf64bf781af6c7d330ab1d718f0b,287,1,"Rp53,153",2,26,14,1,1,15,0,0,0,0,0,0
PlanetSports.Asia,f847cec2caae197b40f3de2f9167df48b7cfa3cb2f03878e166f8d5920051327,303,1,"Rp53,153",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,41ce968567097dab7177a1a13ec398a3f8d182fdc9526080e2cb7981e33c189a,59,1,"Rp53,153",0,5,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,1d7c9de81793c2c0b9d4508aca30119b3a513c2aca278a000de44af9f456d4c8,302,1,"Rp53,153",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,4cdf96c97d1ea53a971e8c35dc3dd3060ea01477d0911962dd7e11bc753e60f8,244,1,"Rp53,153",0,20,25,0,0,25,0,0,3,0,0,0
PlanetSports.Asia,3da61911d69c81fa47a7cf918f48f277485750ad478349ffdc49f232b6f02b3d,303,1,"Rp53,153",0,26,19,0,0,19,0,0,0,0,0,0
PlanetSports.Asia,22bdba63fe8b8603a11c9c627f0c60aab214404e2d2cd98aafd431f716aae898,264,1,"Rp53,153",0,27,3,0,0,3,0,0,0,0,0,0
PlanetSports.Asia,aa4c832931e94b824d24965829d0175f1ef25f3e5a5f699f891d928e66a6a94d,303,1,"Rp53,153",0,29,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,c99d90711914496bf6edfa26f9e2b7c3fbaab473d22d6cb763a1274f8090b34c,301,1,"Rp53,153",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,05e4bd09534ed93fd9c6ecbf58027f8113bcdcde2f24ae51d745f6ae472cf076,171,1,"Rp55,099",0,15,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,8234b18f48ce7cc679051ba06e1224265cddf463dd1f978ca8c0880de1cd2402,315,1,"Rp56,937",0,25,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,127d46bca075122f3751fe56ad7032b95addff8f181649be293310ba6637bf93,291,1,"Rp56,937",0,24,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,71c548492dfe065d3dc982b656dd3e78b96aa0af08273cf5fc383b4f49746d28,32,1,"Rp56,937",0,2,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,4dea340696ba4784c13bdd4cde676cee372d7730a6f2db0f21c65f2e16b73922,292,1,"Rp56,937",0,19,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,b3251b865fb38d500865663eb41a895534f507403e54a767b7fe1e4b04c5e3eb,9,1,"Rp56,937",0,1,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,c1fe995ec3b652352aaa2ab3e0aee0887e8cbb0c6f6e91fad21bdad30c1060db,301,1,"Rp57,658",0,22,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,22de23973e219f51228e75bd9561d85e1a71401ef1c9e612e7566557952daf15,303,1,"Rp57,658",0,22,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,1eee1f029ab3a1470e918f17dbefb379d65b4e531d3ec00e7cd045d9de69b4cc,281,1,"Rp57,658",0,23,0,0,0,0,0,0,0,0,0,0
